source,target
1214250020192407552,1252967702056009728
301045554,1252967702056009728
163569862,777414949828194304
4119626644,777414949828194304
716529781,555937032
1187000692617240576,1084087377612718080
3459395253,1084087377612718080
2946562097,803676517444317185
702855080,803676517444317185
2790104249,803676517444317185
562918819,803676517444317185
1359443306585993218,189127479
2890841380,2829865526
1143045858,2829865526
2917891588,2829865526
3019461083,280556295
1079778314666024960,280556295
165677083,280556295
24154628,3131628136
189127479,3131628136
4417670729,3131628136
231368701,727858337195429888
371193202,727858337195429888
1312776213509922816,736454500903485444
1288788320,736454500903485444
1158705301002104832,718108909202968577
2394311191,718108909202968577
262864117,903684209985900544
1934507905,903684209985900544
1170278156080734210,903684209985900544
70099727,903684209985900544
869895020454834176,903684209985900544
1143045858,903684209985900544
1281653677510533120,1467952526712614915
1274772200516657152,1467952526712614915
1344288490117345287,1467952526712614915
1244325594470526977,16168354
40944483,123520021
1431182124716118022,1072208493258657793
165606398,1072208493258657793
1084746708582584320,1072208493258657793
4084752742,1072208493258657793
2262450503,1379776516112982018
715150850868580352,735749596094160896
324243627,735749596094160896
416359106,1125676018436538368
475184837,1372175786418044932
1443621511424794625,1372175786418044932
1172077530792247297,305648728
537235119,305648728
28611771,305648728
2964866705,1053588322805800960
492443635,755080155039666176
2790155502,239541263
32363034,239541263
1359832826,239541263
1246585461084127232,1332049899391741953
1307213965,1332049899391741953
764575749198192640,476812893
713121281412042752,218601705
1036252963453501441,761241856944513024
2987149120,761241856944513024
1048288820167360514,833683352020455424
939501206,525994077
604796505,1410679041817034754
1406934341578592257,1410679041817034754
1356356503662374917,1410679041817034754
4833411226,1410679041817034754
1051082897296363520,1410679041817034754
1068816404651094016,1410679041817034754
724347373363843072,1410679041817034754
1295657210018697223,1410679041817034754
1430108198044905487,3500506342
37629519,3500506342
14698054,3500506342
296313427,1695839857
236166187,1695839857
4119626644,1695839857
221541656,1695839857
91326293,1695839857
3049972011,91610227
74563245,91610227
1220801966,91610227
1355181716198060032,2752641727
860585317484703746,2752641727
738811456007901184,2752641727
731966250486730752,716680481853583360
960093918,948906179857649667
823297489004625920,903643149259726848
2802437039,903643149259726848
475209311,903643149259726848
58168949,903643149259726848
51104962,840953841935888385
1014483747624947712,3120440478
44122323,215416563
123230534,1006493983
104435756,1006493983
934158921887109120,2800648289
830165994417037315,2800648289
1099036026859864069,339086572
1194190676872839168,339086572
1332112269795319809,339086572
1084746708582584320,339086572
4119626644,339086572
1004122796753121280,339086572
3352928008,339086572
430971856,98436368
294581783,4788187456
1934507905,216978134
416516906,216978134
2751515846,1126463349028544512
1241515496874430470,1126463349028544512
1079778314666024960,1126463349028544512
4119626644,1126463349028544512
2236253064,744174137057353729
764575749198192640,744174137057353729
616297671,115461554
104146075,940143912441786368
29942442,940143912441786368
768344124780969984,940143912441786368
213048153,940143912441786368
939983104055365632,940143912441786368
109953395,491965518
1342732249,300825791
1358292680111972352,465142209
903174485712527364,465142209
825385411,2387083458
347731134,2387083458
392841052,2387083458
